day,type,start_time,end_time,title,presenter,affiliation,location,track,description,paper_url,evaluation_url,status,display_order
1,general,08:00,09:00,Registration & Welcome Coffee,,,,Administration,Collect your conference badge and programme booklet from the registration desk in the main foyer.,,,active,1
1,keynote,09:00,10:00,Opening Keynote: Reimagining Higher Education for the 21st Century,Prof. Sandra Nkosi,University of KwaZulu-Natal,Main Hall,Plenary,"Professor Nkosi delivers the opening address exploring how emerging technologies are fundamentally reshaping the learning landscape in African universities, with reflections on institutional readiness and student equity.",,,active,2
1,break,10:00,10:30,Morning Tea & Networking,,,,Administration,Light refreshments served in the exhibition foyer. Poster presentations open.,,,active,3
1,session,10:30,11:15,Designing for Inclusion: Universal Design for Learning in Large Lecture Halls,Dr. Ayesha Pillay,Durban University of Technology,Room 1A,Learning & Teaching,This session presents findings from a two-year UDL implementation study across engineering and health sciences faculties. Practical frameworks and student feedback data are shared.,,/eval/101,active,4
1,session,10:30,11:15,AI-Assisted Feedback in Programming Courses: A Pilot Study,Mr. Thabo Dlamini,University of Pretoria,Room 2B,Technology & Innovation,A report on using LLM-based tools to provide instant formative feedback to first-year computer science students. Results show a 22% improvement in assignment scores.,,,active,5
1,session,10:30,11:15,Decolonising the Curriculum: Case Studies from Social Sciences,Dr. Nomvula Sithole,University of Cape Town,Room 3C,Research & Engagement,Three faculty teams share their experiences redesigning undergraduate syllabi to centre African epistemologies. Includes discussion of institutional resistance and student responses.,,,active,6
1,session,11:30,12:15,Flipped Classroom Evidence: What Does the Data Actually Say?,Prof. James van der Berg,Stellenbosch University,Room 1A,Learning & Teaching,A meta-analysis of 14 flipped classroom studies conducted at South African universities between 2019-2024. The presenter challenges some popular assumptions with uncomfortable data.,,,active,7
1,session,11:30,12:15,Building an AI Literacy Framework for Non-Technical Students,Dr. Fatima Moosa,UNISA,Room 2B,Technology & Innovation,How do we prepare humanities and social science students to navigate an AI-mediated world? This session presents a competency framework piloted across three faculties.,,/eval/103,active,8
1,workshop,11:30,12:15,Writing for Publication: Getting Your Research Into Journals,Prof. Robert Osei,University of Ghana,Room 3C,Research & Engagement,"An intensive hands-on workshop covering academic writing structure, journal selection strategies, and responding to reviewer comments. Bring a draft abstract to work on.",,,active,9
1,break,12:15,13:30,Lunch Break,,,,Administration,Lunch served in the main dining hall. Vegetarian and halaal options available. Poster session continues in foyer.,,,active,10
1,panel,13:30,14:30,Student Voices: What Do Learners Actually Need from Technology?,Various Panelists,Student Representative Councils,Main Hall,Plenary,"A panel of five students from different universities discuss their lived experience of digital learning tools, hybrid attendance, and assessment anxiety. Facilitated open Q&A.",,,active,11
1,session,14:45,15:30,Rubric Design for Authentic Assessment in Professional Programmes,Dr. Lindiwe Khumalo,University of Johannesburg,Room 1A,Learning & Teaching,Moving beyond knowledge recall to assess graduate attributes. The presenter shares rubric templates developed collaboratively with industry partners in nursing and engineering.,,/eval/105,active,12
1,session,14:45,15:30,ChatGPT in the Classroom: Threat or Teaching Tool?,Ms. Priya Naidoo,Rhodes University,Room 2B,Technology & Innovation,"A frank examination of generative AI in assessment contexts. This session covers detection limitations, academic integrity policies, and redesigning assessments to be AI-resilient.",,,active,13
1,break,15:30,16:00,Afternoon Tea,,,,Administration,Refreshments in the foyer. Book signing with keynote speaker.,,,active,14
1,session,16:00,16:45,Service Learning as a Graduation Requirement: Lessons from Five Years,Prof. Bongiwe Mahlangu,University of the Free State,Room 1A,Research & Engagement,"An honest evaluation of the mandatory service-learning programme introduced in 2019. What worked, what failed, and what the data says about graduate employability.",,,active,15
2,general,08:30,09:00,Morning Registration & Coffee,,,,Administration,Day 2 registration and refreshments in the main foyer.,,,active,16
2,keynote,09:00,10:00,The Future of Assessment: Beyond the Exam Hall,Prof. David Louw,North-West University,Main Hall,Plenary,A provocative keynote arguing that traditional examinations are structurally biased and proposing a portfolio-based alternative used successfully across NWU Faculty of Education.,,,active,17
2,break,10:00,10:30,Morning Tea,,,,Administration,Refreshments and informal networking.,,,active,18
2,session,10:30,11:15,Work-Integrated Learning Partnerships: Building Sustainable Industry Links,Dr. Mpho Ratlhagane,Tshwane University of Technology,Room 1A,Learning & Teaching,"How to create, maintain, and evaluate meaningful industry partnerships for WIL programmes. Three case studies from engineering, hospitality, and ICT are examined.",,,active,19
2,session,10:30,11:15,Building Institutional Chatbots for Student Support,Mr. Sipho Ntanzi,Cape Peninsula University of Technology,Room 2B,Technology & Innovation,"A technical and pedagogical walkthrough of deploying a student support chatbot that handles queries about registration, fees, and academic rules. Lessons learned from 8 months of operation.",,,active,20
2,session,10:30,11:15,Ethics in Educational Research: Navigating Institutional Review,Dr. Zanele Mokoena,University of Limpopo,Room 3C,Research & Engagement,Common pitfalls in ethics applications and how to design studies that are both rigorous and respectful of participants. Includes discussion of community-based participatory research.,,,active,21
2,session,11:30,12:15,Peer Assessment at Scale: Tools and Trust,Prof. Yusuf Cassim,University of the Western Cape,Room 1A,Learning & Teaching,"How do you make peer marking work in a class of 300 students? This session covers platform selection, calibration exercises, and addressing student concerns about fairness.",,,active,22
2,session,11:30,12:15,Extended Reality (XR) in Health Sciences Education,Dr. Amahle Buthelezi,Durban University of Technology,Room 2B,Technology & Innovation,Early results from VR anatomy labs and AR clinical simulation tools introduced in the nursing and physiotherapy programmes. Cost-benefit analysis included.,,,active,23
2,workshop,11:30,12:15,Research Grant Writing: Crafting Proposals That Succeed,Dr. Nokuthula Dube,National Research Foundation,Room 3C,Research & Engagement,"A practical workshop on identifying funding opportunities, writing compelling problem statements, and building a competitive budget. Participants complete a mock grant section.",,,active,24
2,break,12:15,13:30,Lunch Break,,,,Administration,Lunch in the main dining hall.,,,active,25
2,panel,13:30,14:30,Disability and Digital: Accessibility in Online Learning Environments,Various Panelists,Multiple Institutions,Main Hall,Plenary,"A cross-institutional panel examines screen reader compatibility, caption quality, and the gap between institutional accessibility policies and actual student experience.",,,active,26
2,session,14:45,15:30,Micro-credentials and the Changing Shape of Qualifications,Prof. Sarah Goldberg,University of Johannesburg,Room 1A,Learning & Teaching,Are stackable credentials a democratising force or a commodification of education? This session examines the evidence and South Africa policy landscape.,,,active,27
