day,type,start_time,end_time,title,presenter,affiliation,location,track,description,paper_url,evaluation_url,status,display_order
1,general,08:00,09:00,Registration & Welcome Coffee,,,,Administration,Collect your conference badge and programme booklet from the registration desk in the main foyer.,,,active,1
1,keynote,09:00,10:00,Opening Keynote: Reimagining Higher Education for the 21st Century,Prof. Sandra Nkosi,Global Tech University,Main Hall,Plenary,"Professor Nkosi delivers the opening address exploring how emerging technologies are fundamentally reshaping the learning landscape in modern universities, with reflections on institutional readiness and student equity.",,,active,2
1,break,10:00,10:30,Morning Tea & Networking,,,,Administration,Light refreshments served in the exhibition foyer. Poster presentations open.,,,active,3
1,session,10:30,11:15,Designing for Inclusion: Universal Design for Learning in Large Lecture Halls,Dr. Ayesha Pillay,Institute of Science & Technology,Room 1A,Learning & Teaching,This session presents findings from a multi-year UDL implementation study across engineering and health sciences faculties. Practical frameworks and student feedback data are shared.,,/eval/101,active,4
1,session,10:30,11:15,AI-Assisted Feedback in Technical Courses: A Pilot Study,Mr. Thabo Dlamini,National Research University,Room 2B,Technology & Innovation,A report on using AI-based tools to provide instant formative feedback to students. Results show noticeable improvement in assignment scores.,,,active,5
1,session,10:30,11:15,Modernizing the Curriculum: Social Science Case Studies,Dr. Nomvula Sithole,International Education Institute,Room 3C,Research & Engagement,Faculty teams share their experiences redesigning undergraduate syllabi. Includes discussion of institutional adoption and student responses.,,,active,6
1,session,11:30,12:15,Flipped Classroom Evidence: What Does the Data Show?,Prof. James van der Berg,International College,Room 1A,Learning & Teaching,A meta-analysis of flipped classroom studies conducted across higher education institutions. The presenter challenges popular assumptions with empirical data.,,,active,7
1,session,11:30,12:15,Building an AI Literacy Framework for Non-Technical Students,Dr. Fatima Moosa,Global Open University,Room 2B,Technology & Innovation,How do we prepare humanities and social science students to navigate an AI-mediated world? This session presents a competency framework piloted across three faculties.,,/eval/103,active,8
1,workshop,11:30,12:15,Writing for Publication: Getting Your Research Into Journals,Prof. Robert Osei,Global Research Academy,Room 3C,Research & Engagement,"An intensive hands-on workshop covering academic writing structure, journal selection strategies, and responding to reviewer comments.",,,active,9
1,break,12:15,13:30,Lunch Break,,,,Administration,Lunch served in the main dining hall. Poster session continues in foyer.,,,active,10
1,panel,13:30,14:30,Student Voices: What Do Learners Need from Technology?,Various Panelists,Student Advisory Board,Main Hall,Plenary,"A panel of students from different faculties discuss their experience with digital learning tools and hybrid attendance.",,,active,11
2,keynote,09:00,10:00,Day 2 Keynote: Ethical Considerations in Educational Technology,Dr. Michael Chen,Cybernetics Institute,Main Hall,Plenary,"Exploring governance, data privacy, and ethical guidelines when implementing automated technologies in educational systems.",,,active,1
2,workshop,10:30,11:30,Interactive Workshop: Building Blended Learning Environments,Ms. Sarah Adams,Educational Technology Academy,Room 2A,Technology & Innovation,"A hands-on workshop covering curriculum mapping, hybrid delivery models, and active learning strategies.",,,active,2
3,keynote,09:00,10:00,Day 3 Keynote: Global Trends in Academic Leadership & Engagement,Prof. David Evans,Global Education Center,Main Hall,Plenary,"Strategies for fostering interdisciplinary collaboration, community engagement, and institutional growth.",,,active,1
3,general,11:00,12:00,Closing Ceremony & Awards Presentation,Organising Committee,,Main Hall,Administration,Official closing remarks and presentation of best presentation awards.,,,active,2
